"","Year","Month","Day","air_temp_5m","rain"
"405",1998,1,20,-35.7708333333333,NA
"406",1999,1,20,-34.85,0
"407",2000,1,20,-26.15,0
"408",2001,1,20,-9.425,NA
"409",2002,1,20,-24.8208333333333,0
"410",2003,1,20,-9.6125,0
"411",2004,1,20,-22.9625,0
"412",2005,1,20,-8.5125,2.286
"413",2006,1,20,-37.9708333333333,NA
"414",2007,1,20,-21.6833333333333,0.06
"415",2008,1,20,1.1875,0.28
"416",2009,1,20,-29.2820833333333,0
"417",2010,1,20,-25.70125,NA
"418",2011,1,20,-36.1708333333333,NA
"419",2012,1,20,-18.7841666666667,NA
"420",2013,1,20,-13.3258333333333,NA
"421",2014,1,20,-9.48045833333333,0.1
"422",2015,1,20,-11.9547916666667,0.7
"423",2016,1,20,-40.4641666666667,0
"424",2017,1,20,-34.625,NA
"425",2018,1,20,-33.3325,0
"426",2019,1,20,-31.1575,0
"427",2020,1,20,-19.4291666666667,0
"428",2021,1,20,-16.1441666666667,0.5
"429",2022,1,20,-30.9458333333333,0
"430",1989,1,21,-38.5708333333333,NA
"431",1990,1,21,-31.4583333333333,NA
"432",1992,1,21,-37.4666666666667,NA
"433",1993,1,21,NA,NA
"434",1994,1,21,-34.5916666666667,NA
"435",1995,1,21,-19.2458333333333,NA
"436",1996,1,21,-16.2833333333333,NA
"437",1997,1,21,-28.6541666666667,NA
"438",1998,1,21,-35.6208333333333,NA
"439",1999,1,21,-22.6708333333333,0.254
"440",2000,1,21,-12.3833333333333,2.032
"441",2001,1,21,-9.77083333333333,NA
"442",2002,1,21,-28.2125,0
"443",2003,1,21,-14.3708333333333,0
"444",2004,1,21,-20.5347826086957,NA
"445",2005,1,21,-5.95416666666667,3.556
"446",2006,1,21,-42.9041666666667,NA
"447",2007,1,21,-27.7375,0
"448",2008,1,21,-4.69583333333333,0.09
"449",2009,1,21,-21.2041666666667,0
"450",2010,1,21,-25.8316666666667,NA
"451",2011,1,21,-35.0133333333333,NA
"452",2012,1,21,-29.6129166666667,NA
"453",2013,1,21,-15.2666666666667,NA
"454",2014,1,21,-0.0623333333333333,0.2
"455",2015,1,21,-25.3408333333333,1.3
"456",2016,1,21,-35.5741666666667,0
"457",2017,1,21,-33.9504166666667,NA
"458",2018,1,21,-37.8225,0
"459",2019,1,21,-35.6179166666667,0
"460",2020,1,21,-18.7875,0
"461",2021,1,21,-6.92608333333333,0.3
"462",2022,1,21,-24.2629166666667,0
"463",1989,1,22,-37.2916666666667,NA
"464",1990,1,22,-36.4458333333333,NA
"465",1992,1,22,-35.1541666666667,NA
